275 TrES-4_b 0.925 1.394 0.0509243 0
276 NGC_4349_127_b 19.8296 3.9 2.38084 0.19
277 GJ_676_A_b 4.89701 0.71 1.81539 0.326
278 HD_47186_c 0.348285 0.99 2.38704 0.249
279 HIP_14810_d 0.5806 0.99 1.88623 0.165251
280 HD_142245_b 1.89038 1.69 2.77628 0
281 HD_30177_b 9.68782 0.951 3.80821 0.193
282 Kepler-4_b 0.0772279 1.223 0.0455763 0
283 HD_190647_b 1.90296 1.1 2.07238 0.18
284 HD_97658_b 7.862 0.748 0.0796373 0.064
285 HD_106270_b 11.0314 1.32 4.3673 0.402
286 HD_30856_b 1.8481 1.35 2.03503 0.117
287 HD_48265_b 1.20645 0.93 1.59435 0.24
288 HD_89307_b 1.79148 0.989 3.26609 0.2
289 HD_163607_c 2.2924 1.09 2.41789 0.12
290 WASP-49_b 0.378231 0.938 0.0378972 0
292 HD_4313_b 2.34791 1.72 1.17834 0.041
293 HR_8799_b 7 1.516 67.4293 0
294 HD_2638_b 0.477325 0.93 0.0435743 0
295 HD_168443_b 7.69745 0.995 0.29385 0.52883
296 HD_10180_f 0.0743252 1.06 0.49279 0.133
297 HD_45350_b 1.83614 1.054 1.94413 0.778
298 HD_69830_c 0.0367709 0.849 0.185072 0.13
299 HD_47186_b 0.071203 0.99 0.0498411 0.038
300 HD_148427_b 1.21259 1.485 1.06975 0.16
301 epsilon_Tau_b 7.62034 2.7 1.92936 0.151
302 Kepler-11_e 0.026432 0.95 0.1939 0
303 HD_208487_b 0.5122 1.113 0.520765 0.24
304 epsilon_Eri_b 1.05448 0.82 3.37558 0.25
306 HD_20782_b 1.9 0.969 1.36607 0.97
307 HD_190360_c 0.0589738 0.983 0.129216 0.23747
308 HD_65216_b 1.21636 0.92 1.37427 0.41
309 HAT-P-13_b 0.85708 1.22 0.0426946 0.0133
310 GJ_3634_b 0.0221881 0.45 0.0286881 0.08
311 Kepler-9_b 0.248945 1 0.140548 0.150841
312 HD_130322_b 1.04309 0.836 0.0896052 0.011
314 HD_16175_b 4.37946 1.29 2.1185 0.6
315 HD_46375_b 0.227201 0.927 0.0399038 0.063
316 Kepler-14_b 8.40643 1.512 0.0806879 0.0350051
317 CoRoT-13_b 1.31099 1.09 0.051069 0
318 HD_98219_b 1.83388 1.3 1.23037 0
319 HD_11964_b 0.618198 1.107 3.15465 0.041
320 HAT-P-34_b 3.334 1.392 0.0677467 0.441
321 HD_139357_b 10.0754 1.35 2.34618 0.1
322 HD_1461_b 0.0240044 1.026 0.0635202 0.14
323 HAT-P-30_b 0.711088 1.242 0.0419042 0.035
324 HD_8535_b 0.682196 1.13 2.4447 0.15
325 HAT-P-28_b 0.627833 1.025 0.0433674 0.051
326 HD_4203_b 2.08215 1.13 1.16537 0.519
327 HD_102956_b 0.951497 1.68 0.0810025 0.048
328 Fomalhaut_b 0.5 1.92 113.443 0.12
329 GJ_176_b 0.0259969 0.49 0.0656822 0
330 HD_23079_b 2.4433 1.012 1.59509 0.102
331 HD_178911_B_b 7.29127 1.06421 0.344904 0.114
332 WASP-58_b 0.891379 0.94 0.0562022 0
333 HD_162020_b 15.2138 0.8 0.0756944 0.277
334 HD_168746_b 0.245103 0.916 0.0655505 0.107
335 GJ_876_c 0.612168 0.32 0.129574 0.25591
336 Kepler-20_c 0.0495058 0.912 0.0930411 0
337 HD_215497_b 0.020855 0.872 0.0465952 0.16
338 HD_154345_b 0.956901 0.893 4.21377 0.044
339 HD_217107_b 1.40112 1.108 0.0750282 0.126686
340 mu_Ara_c 1.88907 1.147 5.34057 0.0985
341 HD_7199_b 0.295018 0.89 1.36155 0.19
342 GJ_433_b 0.0181986 0.48 0.0580371 0.08
343 HAT-P-31_b 2.16904 1.218 0.0611921 0.245
344 OGLE-TR-113_b 1.26 0.779 0.0228946 0
345 Kepler-41_b 0.493545 0.94 0.0289537 0
346 HD_40307_d 0.028076 0.74 0.132422 0
347 HD_290327_b 2.54762 0.9 3.43052 0.08
348 GJ_876_e 0.039229 0.32 0.333345 0.055
349 HD_169830_c 4.06407 1.407 3.60184 0.33
350 47_UMa_c 0.545774 1.063 3.57197 0.098
351 HD_63765_b 0.643827 0.865 0.94038 0.24
352 HD_85390_b 0.131884 0.76 1.52377 0.41
353 WASP-77_A_b 1.76 1.002 0.0240406 0
354 55_Cnc_e 0.0263671 0.905 0.0154393 0
355 HIP_57274_d 0.528573 0.73 1.00678 0.27
356 HD_221287_b 3.11535 1.25 1.25015 0.08
357 HD_192699_b 2.39704 1.69 1.14839 0.129
358 HD_181342_b 2.99952 1.58 1.73419 0.177
359 WASP-8_b 2.13797 1.03 0.080153 0.31
360 HD_131496_b 2.24115 1.61 2.1121 0.163
362 HD_44219_b 0.589265 1 1.18713 0.61
363 75_Cet_b 3.04335 2.49 2.07589 0.117
364 Kepler-40_b 2.17684 1.48 0.0806644 0
365 HD_220074_b 11.1883 1.2 1.60044 0.14
366 HAT-P-39_b 0.599196 1.404 0.0509456 0
367 WASP-26_b 1.01746 1.12 0.0399686 0
368 HIP_2247_b 5.12319 0.74 1.33884 0.54
369 GJ_876_d 0.0184193 0.32 0.0208066 0.207
370 OGLE-TR-56_b 1.39 1.228 0.0238309 0
371 HD_38529_b 0.85711 1.477 0.131395 0.243663
372 BD_+20_2457_c 13.1737 2.8 2.01294 0.18
373 HD_22781_b 13.8403 0.75 1.16847 0.8191
375 HD_20868_b 2.00901 0.78 0.947319 0.75
376 HAT-P-9_b 0.776601 1.28 0.0528645 0
377 HD_107148_b 0.212171 1.137 0.270013 0.05
378 51_Peg_b 0.461143 1.054 0.0521068 0.013
379 55_Cnc_f 0.172877 0.905 0.773567 0.32
380 HD_212301_b 0.39615 1.05 0.034116 0
381 HAT-P-15_b 1.95154 1.013 0.0964692 0.19
382 HD_209458_b 0.689646 1.131 0.047235 0
383 HD_102272_b 5.91294 1.9 0.614906 0.05
384 HD_181433_b 0.0237331 0.78 0.0800943 0.396
385 HD_187123_b 0.510056 1.037 0.042091 0.0102736
386 HD_108147_b 0.257999 1.171 0.101407 0.53
387 WASP-61_b 2.05491 1.22 0.0514489 0
388 HD_215497_c 0.327524 0.872 1.28243 0.49
389 CoRoT-17_b 2.46001 1.04 0.0480499 0
390 HD_20794_d 0.0147932 0.7 0.349781 0
391 xi_Aql_b 2.80661 2.2 0.675889 0
392 HD_33564_b 9.12785 1.25 1.1241 0.34
393 HD_40979_b 4.02224 1.154 0.846038 0.252
394 GJ_581_c 0.0167756 0.31 0.0729238 0.07
395 HD_10180_c 0.0415054 1.06 0.0641175 0.077
396 WASP-31_b 0.479329 1.165 0.0466223 0
397 HD_134987_c 0.804926 1.054 5.82513 0.12
398 HD_40307_b 0.0129071 0.74 0.0468927 0
399 iota_Dra_b 12.715 1.82 1.53084 0.7124
400 HD_108874_b 1.2902 0.95 1.03527 0.1276
401 HD_4732_b 2.37727 1.74 1.19218 0.13
402 HD_23596_b 7.74272 1.159 2.77219 0.266
403 HD_25171_b 0.956204 1.09 3.03064 0.08
404 HD_83443_b 0.395855 0.991 0.0404623 0.013
405 WASP-36_b 2.26929 1.02 0.0262601 0
406 HD_43691_b 2.49717 1.38 0.241901 0.14
407 30_Ari_B_b 9.87792 1.16 0.99475 0.289
408 HAT-P-6_b 1.05957 1.29 0.0523738 0
409 Kepler-35_b 0.127011 0.8877 0.48628 0.042
410 BD_-08_2823_c 0.328101 0.74 0.679166 0.19
411 4_UMa_b 7.13242 1.234 0.876999 0.432
412 Qatar-1_b 1.08979 0.85 0.0234308 0
413 HD_10697_b 6.23505 1.112 2.13177 0.099
414 Kepler-11_f 0.0072304 0.95 0.249453 0
415 BD_+20_2457_b 22.6726 2.8 1.44993 0.15
416 mu_Ara_d 0.0345873 1.147 0.0927843 0.172
417 HD_3651_b 0.228975 0.882 0.29472 0.596
418 HD_99706_b 1.40289 1.72 2.13423 0.37
419 HD_169830_b 2.88946 1.407 0.813279 0.31
420 HD_175541_b 0.574881 1.524 1.00334 0.33
421 HD_202206_c 2.33098 1.074 2.49004 0.267
422 HD_145457_b 2.97219 1.9 0.762504 0.112
423 HD_206610_b 2.22576 1.56 1.6333 0.229
424 HD_12661_c 1.9487 1.136 2.91927 0.0312556
425 Kepler-12_b 0.431956 1.166 0.0556348 0
426 HAT-P-36_b 1.83923 1.022 0.0238229 0.063
427 WASP-35_b 0.717098 1.07 0.0431283 0
428 HD_69830_d 0.0563373 0.849 0.627426 0.07
